,Policy,Hit rate,Weighted Hit Rate,Percentage hit rate change,Percentage weighted hit rate change
126,linked.Clock_TinyLfuMulti,0.0,0.0,-100.0,-100.0
89,linked.Fifo,0.33,0.02,0.0,0.0
123,linked.Fifo_Comparison,0.0,0.0,-100.0,-100.0
62,linked.Fifo_Secondary,0.36,0.03,9.09,50.0
90,linked.Fifo_Threshold15,0.33,0.02,0.0,0.0
63,linked.Fifo_TinyLfu,0.36,0.03,9.09,50.0
109,linked.Fifo_TinyLfuBoost,0.2,0.02,-39.39,0.0
127,linked.Fifo_TinyLfuMulti,0.0,0.0,-100.0,-100.0
33,linked.Lfu,0.37,0.03,0.0,0.0
113,linked.Lfu_Comparison,0.07,0.01,-81.08,-66.67
2,linked.Lfu_Secondary,0.4,0.03,8.11,0.0
17,linked.Lfu_Threshold15,0.38,0.03,2.7,0.0
9,linked.Lfu_TinyLfu,0.38,0.03,2.7,0.0
16,linked.Lfu_TinyLfuBoost,0.38,0.03,2.7,0.0
115,linked.Lfu_TinyLfuMulti,0.07,0.01,-81.08,-66.67
34,linked.Lfucostboost,0.37,0.03,0.0,0.0
114,linked.Lfucostboost_Comparison,0.07,0.01,-81.08,-66.67
3,linked.Lfucostboost_Secondary,0.4,0.03,8.11,0.0
18,linked.Lfucostboost_Threshold15,0.38,0.03,2.7,0.0
8,linked.Lfucostboost_TinyLfu,0.38,0.03,2.7,0.0
48,linked.Lfucostboost_TinyLfuBoost,0.37,0.03,0.0,0.0
116,linked.Lfucostboost_TinyLfuMulti,0.07,0.01,-81.08,-66.67
81,linked.Lru,0.34,0.02,0.0,0.0
122,linked.Lru_Comparison,0.0,0.0,-100.0,-100.0
0,linked.Lru_Secondary,0.51,0.03,50.0,50.0
88,linked.Lru_Threshold15,0.33,0.02,-2.94,0.0
1,linked.Lru_TinyLfu,0.46,0.03,35.29,50.0
103,linked.Lru_TinyLfuBoost,0.23,0.02,-32.35,0.0
128,linked.Lru_TinyLfuMulti,0.0,0.0,-100.0,-100.0
110,linked.Mfu,0.2,0.01,0.0,0.0
121,linked.Mfu_Comparison,0.01,0.0,-95.0,-100.0
72,linked.Mfu_Secondary,0.36,0.03,80.0,200.0
111,linked.Mfu_Threshold15,0.19,0.01,-5.0,0.0
73,linked.Mfu_TinyLfu,0.36,0.03,80.0,200.0
112,linked.Mfu_TinyLfuBoost,0.14,0.01,-30.0,0.0
129,linked.Mfu_TinyLfuMulti,0.0,0.0,-100.0,-100.0
118,linked.Mru,0.05,0.0,0.0,0.0
120,linked.Mru_Comparison,0.02,0.0,-60.0,0.0
57,linked.Mru_Secondary,0.36,0.03,620.0,0.0
117,linked.Mru_Threshold15,0.06,0.0,20.0,0.0
64,linked.Mru_TinyLfu,0.36,0.03,620.0,0.0
105,linked.Mru_TinyLfuBoost,0.22,0.02,340.0,0.0
125,linked.Mru_TinyLfuMulti,0.0,0.0,-100.0,0.0
23,product.Cache2k,0.37,0.03,0.0,0.0
12,product.Caffeine,0.38,0.03,0.0,0.0
82,product.ElasticSearch,0.34,0.02,0.0,0.0
83,product.Guava,0.34,0.02,0.0,0.0
91,sampled.Fifo,0.33,0.02,0.0,0.0
71,sampled.Fifo_Comparison,0.36,0.03,9.09,50.0
92,sampled.Fifo_Secondary,0.33,0.02,0.0,0.0
93,sampled.Fifo_Threshold15,0.33,0.02,0.0,0.0
35,sampled.Fifo_TinyLfu,0.37,0.03,12.12,50.0
36,sampled.Fifo_TinyLfuBoost,0.37,0.03,12.12,50.0
37,sampled.Fifo_TinyLfuMulti,0.37,0.03,12.12,50.0
77,sampled.Hyperbolic,0.36,0.03,0.0,0.0
67,sampled.Hyperbolic_Comparison,0.36,0.03,0.0,0.0
78,sampled.Hyperbolic_Secondary,0.36,0.03,0.0,0.0
79,sampled.Hyperbolic_Threshold15,0.36,0.03,0.0,0.0
27,sampled.Hyperbolic_TinyLfu,0.37,0.03,2.78,0.0
29,sampled.Hyperbolic_TinyLfuBoost,0.37,0.03,2.78,0.0
28,sampled.Hyperbolic_TinyLfuMulti,0.37,0.03,2.78,0.0
76,sampled.Lfu,0.36,0.03,0.0,0.0
68,sampled.Lfu_Comparison,0.36,0.03,0.0,0.0
75,sampled.Lfu_Secondary,0.36,0.03,0.0,0.0
74,sampled.Lfu_Threshold15,0.36,0.03,0.0,0.0
25,sampled.Lfu_TinyLfu,0.37,0.03,2.78,0.0
24,sampled.Lfu_TinyLfuBoost,0.37,0.03,2.78,0.0
26,sampled.Lfu_TinyLfuMulti,0.37,0.03,2.78,0.0
85,sampled.Lru,0.34,0.02,0.0,0.0
65,sampled.Lru_Comparison,0.36,0.03,5.88,50.0
86,sampled.Lru_Secondary,0.34,0.02,0.0,0.0
84,sampled.Lru_Threshold15,0.34,0.02,0.0,0.0
42,sampled.Lru_TinyLfu,0.37,0.03,8.82,50.0
44,sampled.Lru_TinyLfuBoost,0.37,0.03,8.82,50.0
43,sampled.Lru_TinyLfuMulti,0.37,0.03,8.82,50.0
99,sampled.Mfu,0.3,0.02,0.0,0.0
70,sampled.Mfu_Comparison,0.36,0.03,20.0,50.0
98,sampled.Mfu_Secondary,0.3,0.02,0.0,0.0
100,sampled.Mfu_Threshold15,0.3,0.02,0.0,0.0
15,sampled.Mfu_TinyLfu,0.38,0.03,26.67,50.0
14,sampled.Mfu_TinyLfuBoost,0.38,0.03,26.67,50.0
13,sampled.Mfu_TinyLfuMulti,0.38,0.03,26.67,50.0
107,sampled.Mru,0.21,0.02,0.0,0.0
66,sampled.Mru_Comparison,0.36,0.03,71.43,50.0
106,sampled.Mru_Secondary,0.21,0.02,0.0,0.0
108,sampled.Mru_Threshold15,0.21,0.02,0.0,0.0
32,sampled.Mru_TinyLfu,0.37,0.03,76.19,50.0
31,sampled.Mru_TinyLfuBoost,0.37,0.03,76.19,50.0
30,sampled.Mru_TinyLfuMulti,0.37,0.03,76.19,50.0
95,sampled.Random,0.33,0.02,0.0,0.0
69,sampled.Random_Comparison,0.36,0.03,9.09,50.0
96,sampled.Random_Secondary,0.33,0.02,0.0,0.0
94,sampled.Random_Threshold15,0.33,0.02,0.0,0.0
41,sampled.Random_TinyLfu,0.37,0.03,12.12,50.0
39,sampled.Random_TinyLfuBoost,0.37,0.03,12.12,50.0
40,sampled.Random_TinyLfuMulti,0.37,0.03,12.12,50.0
