,Policy,Hit rate,Weighted Hit Rate,Percentage hit rate change,Percentage weighted hit rate change
61,linked.Mfu_TinyLfuBoost,13.4,2.24,451.44,397.78
60,linked.Mfu_TinyLfuMulti,3.78,0.32,55.56,-28.89
59,linked.Mru,1.89,0.36,0.0,0.0
58,linked.Mru_Comparison,0.62,0.1,-67.2,-72.22
57,linked.Mru_Secondary,15.05,0.7,696.3,94.44
56,linked.Mru_Threshold15,2.39,0.41,26.46,13.89
55,linked.Mru_TinyLfu,22.35,1.93,1082.54,436.11
54,linked.Mru_TinyLfuBoost,19.41,2.4,926.98,566.67
53,linked.Mru_TinyLfuMulti,2.4,0.51,26.98,41.67
52,product.Cache2k,16.59,2.51,0.0,0.0
51,product.Caffeine,23.58,2.56,0.0,0.0
50,product.ElasticSearch,2.55,0.48,0.0,0.0
49,product.Guava,15.91,1.57,0.0,0.0
48,sampled.Fifo,2.64,0.49,0.0,0.0
47,sampled.Fifo_Comparison,11.84,1.45,348.48,195.92
46,sampled.Fifo_Secondary,2.64,0.49,0.0,0.0
45,sampled.Fifo_Threshold15,2.64,0.49,0.0,0.0
44,sampled.Fifo_TinyLfu,23.69,2.64,797.35,438.78
43,sampled.Fifo_TinyLfuBoost,23.69,2.64,797.35,438.78
42,sampled.Fifo_TinyLfuMulti,23.69,2.64,797.35,438.78
41,sampled.Hyperbolic,10.28,1.61,0.0,0.0
40,sampled.Hyperbolic_Comparison,11.84,1.45,15.18,-9.94
39,sampled.Hyperbolic_Secondary,10.28,1.61,0.0,0.0
38,sampled.Hyperbolic_Threshold15,10.28,1.61,0.0,0.0
37,sampled.Hyperbolic_TinyLfu,22.18,2.96,115.76,83.85
36,sampled.Hyperbolic_TinyLfuBoost,22.18,2.96,115.76,83.85
35,sampled.Hyperbolic_TinyLfuMulti,22.18,2.96,115.76,83.85
34,sampled.Lfu,14.55,2.03,0.0,0.0
33,sampled.Lfu_Comparison,11.84,1.45,-18.63,-28.57
32,sampled.Lfu_Secondary,14.55,2.03,0.0,0.0
31,sampled.Lfu_Threshold15,14.55,2.03,0.0,0.0
30,sampled.Lfu_TinyLfu,22.22,2.97,52.71,46.31
29,sampled.Lfu_TinyLfuBoost,22.22,2.97,52.71,46.31
28,sampled.Lfu_TinyLfuMulti,22.22,2.97,52.71,46.31
27,sampled.Lru,2.76,0.51,0.0,0.0
26,sampled.Lru_Comparison,11.84,1.45,328.99,184.31
25,sampled.Lru_Secondary,2.76,0.51,0.0,0.0
24,sampled.Lru_Threshold15,2.76,0.51,0.0,0.0
23,sampled.Lru_TinyLfu,22.2,2.97,704.35,482.35
22,sampled.Lru_TinyLfuBoost,22.2,2.97,704.35,482.35
21,sampled.Lru_TinyLfuMulti,22.2,2.97,704.35,482.35
20,sampled.Mfu,4.6,0.72,0.0,0.0
19,sampled.Mfu_Comparison,11.84,1.45,157.39,101.39
18,sampled.Mfu_Secondary,4.6,0.72,0.0,0.0
17,sampled.Mfu_Threshold15,4.6,0.72,0.0,0.0
16,sampled.Mfu_TinyLfu,22.94,2.51,398.7,248.61
15,sampled.Mfu_TinyLfuBoost,22.94,2.51,398.7,248.61
14,sampled.Mfu_TinyLfuMulti,22.94,2.51,398.7,248.61
13,sampled.Mru,3.73,0.37,0.0,0.0
12,sampled.Mru_Comparison,11.84,1.45,217.43,291.89
11,sampled.Mru_Secondary,3.73,0.37,0.0,0.0
10,sampled.Mru_Threshold15,3.73,0.37,0.0,0.0
9,sampled.Mru_TinyLfu,24.16,2.01,547.72,443.24
8,sampled.Mru_TinyLfuBoost,24.16,2.01,547.72,443.24
7,sampled.Mru_TinyLfuMulti,24.16,2.01,547.72,443.24
6,sampled.Random,5.33,0.82,0.0,0.0
5,sampled.Random_Comparison,11.84,1.45,122.14,76.83
4,sampled.Random_Secondary,5.33,0.82,0.0,0.0
3,sampled.Random_Threshold15,5.33,0.82,0.0,0.0
2,sampled.Random_TinyLfu,24.41,2.78,357.97,239.02
1,sampled.Random_TinyLfuBoost,24.41,2.78,357.97,239.02
0,sampled.Random_TinyLfuMulti,24.41,2.78,357.97,239.02
