,Policy,Hit rate,Weighted hit rate,Percentage hit rate change,Percentage weighted hit rate change
63,linked.Mfu_Threshold15,33.56,15.19,-4.88,-5.48
62,linked.Mfu_TinyLfu,42.1,16.8,19.33,4.54
61,linked.Mfu_TinyLfuBoost,40.3,17.65,14.23,9.83
60,linked.Mfu_TinyLfuMulti,7.48,8.07,-78.8,-49.78
59,linked.Mru,8.27,5.34,0.0,0.0
58,linked.Mru_Comparison,4.02,5.89,-51.39,10.3
57,linked.Mru_Secondary,56.09,21.62,578.23,304.87
56,linked.Mru_Threshold15,8.1,5.38,-2.06,0.75
55,linked.Mru_TinyLfu,57.44,23.8,594.56,345.69
54,linked.Mru_TinyLfuBoost,55.57,25.0,571.95,368.16
53,linked.Mru_TinyLfuMulti,17.49,15.99,111.49,199.44
52,product.Cache2k,64.29,27.51,0.0,0.0
51,product.Caffeine,63.89,27.37,0.0,0.0
50,product.ElasticSearch,62.22,26.67,0.0,0.0
49,product.Guava,62.21,26.68,0.0,0.0
48,sampled.Fifo,61.32,26.38,0.0,0.0
47,sampled.Fifo_Comparison,17.17,17.62,-72.0,-33.21
46,sampled.Fifo_Secondary,61.87,25.81,0.9,-2.16
45,sampled.Fifo_Threshold15,61.03,26.13,-0.47,-0.95
44,sampled.Fifo_TinyLfu,62.08,26.55,1.24,0.64
43,sampled.Fifo_TinyLfuBoost,60.24,26.32,-1.76,-0.23
42,sampled.Fifo_TinyLfuMulti,51.48,28.27,-16.05,7.16
41,sampled.Hyperbolic,63.59,27.1,0.0,0.0
40,sampled.Hyperbolic_Comparison,51.21,27.05,-19.47,-0.18
39,sampled.Hyperbolic_Secondary,63.28,26.17,-0.49,-3.43
38,sampled.Hyperbolic_Threshold15,63.53,27.05,-0.09,-0.18
37,sampled.Hyperbolic_TinyLfu,63.1,26.84,-0.77,-0.96
36,sampled.Hyperbolic_TinyLfuBoost,62.25,27.68,-2.11,2.14
35,sampled.Hyperbolic_TinyLfuMulti,57.54,30.16,-9.51,11.29
34,sampled.Lfu,63.89,27.4,0.0,0.0
33,sampled.Lfu_Comparison,51.08,26.95,-20.05,-1.64
32,sampled.Lfu_Secondary,63.37,26.26,-0.81,-4.16
31,sampled.Lfu_Threshold15,63.86,27.31,-0.05,-0.33
30,sampled.Lfu_TinyLfu,63.14,26.85,-1.17,-2.01
29,sampled.Lfu_TinyLfuBoost,62.36,27.89,-2.39,1.79
28,sampled.Lfu_TinyLfuMulti,57.49,30.11,-10.02,9.89
27,sampled.Lru,62.22,26.75,0.0,0.0
26,sampled.Lru_Comparison,41.6,24.56,-33.14,-8.19
25,sampled.Lru_Secondary,62.61,25.93,0.63,-3.07
24,sampled.Lru_Threshold15,61.94,26.53,-0.45,-0.82
23,sampled.Lru_TinyLfu,62.67,26.55,0.72,-0.75
22,sampled.Lru_TinyLfuBoost,60.7,26.85,-2.44,0.37
21,sampled.Lru_TinyLfuMulti,51.05,27.5,-17.95,2.8
20,sampled.Mfu,58.44,25.14,0.0,0.0
19,sampled.Mfu_Comparison,3.84,9.05,-93.43,-64.0
18,sampled.Mfu_Secondary,60.73,24.75,3.92,-1.55
17,sampled.Mfu_Threshold15,57.96,24.9,-0.82,-0.95
16,sampled.Mfu_TinyLfu,60.69,25.25,3.85,0.44
15,sampled.Mfu_TinyLfuBoost,59.26,26.33,1.4,4.73
14,sampled.Mfu_TinyLfuMulti,42.98,26.15,-26.45,4.02
13,sampled.Mru,57.1,24.39,0.0,0.0
12,sampled.Mru_Comparison,7.34,10.96,-87.15,-55.06
11,sampled.Mru_Secondary,61.51,25.04,7.72,2.67
10,sampled.Mru_Threshold15,56.69,24.18,-0.72,-0.86
9,sampled.Mru_TinyLfu,61.3,25.44,7.36,4.31
8,sampled.Mru_TinyLfuBoost,59.25,26.41,3.77,8.28
7,sampled.Mru_TinyLfuMulti,41.39,25.53,-27.51,4.67
6,sampled.Random,61.0,26.19,0.0,0.0
5,sampled.Random_Comparison,3.99,9.75,-93.46,-62.77
4,sampled.Random_Secondary,62.83,25.94,3.0,-0.95
3,sampled.Random_Threshold15,60.63,25.96,-0.61,-0.88
2,sampled.Random_TinyLfu,62.66,26.56,2.72,1.41
1,sampled.Random_TinyLfuBoost,60.65,26.97,-0.57,2.98
0,sampled.Random_TinyLfuMulti,46.04,27.98,-24.52,6.83
